originalPrice,price,sold,tagText,discount_percentage,adjustable,and,bed,bedroom,bedside,bench,black,cabinet,cabinets,chair,chairs,charging,chest,closet,clothes,coffee,computer,conversation,couch,cushions,desk,dining,drawer,drawers,dresser,dressing,end,fabric,folding,for,frame,furniture,gaming,garden,glass,hanging,home,household,inch,kitchen,large,leather,led,light,lights,living,lounge,makeup,metal,mirror,modern,nightstand,of,office,organizer,ottoman,outdoor,patio,piece,pieces,portable,power,rack,rattan,room,round,seat,sectional,set,sets,shaped,shelf,shelves,shoe,shoes,side,simple,small,sofa,space,stand,station,steel,stool,storage,swing,table,tables,top,tv,up,upholstered,vanity,velvet,wardrobe,white,wicker,with,wood,wooden
30.0,46.79,600,1,-55.96666666666666,0.0,0.0,0.0,0.18972074916728301,0.0,0.0,0.0,0.2435881405376529,0.0,0.0,0.0,0.0,0.0,0.28472249951654854,0.3415675118932789,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2110098854990647,0.2547930059481046,0.0,0.0,0.2820062061492504,0.0,0.3167753812969236,0.27784790125147224,0.16644275841833897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2618842316762865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33087272124500083,0.0,0.17275281457386094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3006108189341295,0.0,0.0,0.12018170461451289,0.0,0.0
116.0,169.72,9,1,-46.310344827586206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24297983644522,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32483114252833106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1861406355909783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25406456227353336,0.5281481743847659,0.0,0.3432911218597584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43961708973493013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2369480508121401,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30008588283850185,0.0,0.0,0.0
78.4,39.46,7,1,49.66836734693878,0.0,0.0,0.0,0.20046933280291993,0.0,0.0,0.0,0.25738856833856605,0.0,0.0,0.0,0.0,0.3235807096198468,0.3008533845801679,0.36091893752761556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22296460005816146,0.0,0.0,0.0,0.2979832002622728,0.0,0.33472221470616,0.0,0.17587253305953113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21075549454009324,0.0,0.0,0.0,0.0,0.0,0.0,0.2767212201416077,0.0,0.2775974619734848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19775185893434755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18254008393627302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1269905703247336,0.0,0.0
89.0,111.99,2,1,-25.8314606741573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5010925629389683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33291113565729763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18264821851294222,0.0,0.19193709552191685,0.0,0.0,0.0,0.0,0.2772144658428663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2300063391571108,0.4007511466670986,0.0,0.0,0.0,0.23711241254152218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2158149244661802,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24432666471815778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33916079399509697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48.82,21.37,1,1,56.22695616550594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26976672500165677,0.0,0.0,0.0,0.20321296300687414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14731801298344108,0.0,0.0,0.0,0.0,0.21277119030684608,0.3003204955067443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23364278143183298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2654724360021166,0.46653766849630685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2863085417537493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5514247805033974
1294.04,1350.0,53,1,-4.3244412846589,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24027611844142147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18406938640812975,0.0,0.0,0.3309597925819924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2512375008136372,0.26113564639694814,0.0,0.33947120659314456,0.0,0.0,0.0,0.3067145997449219,0.0,0.0,0.0,0.0,0.43472532316827583,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17886691700743587,0.0,0.3626594218523735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2967467267340851,0.13290919254219152,0.0,0.0
168.0,198.31,1,1,-18.041666666666668,0.0,0.18084153926555413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2752048571780206,0.0,0.2882170557142305,0.28646568992438304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16515936717529517,0.0,0.0,0.29695926612212903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.450854185530662,0.23430837113893224,0.2937224472195415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2727491371295973,0.3900646417669429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16049136359939206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11925501877523668,0.0,0.0
1474.17,734.58,5,1,50.16992612792283,0.0,0.237437232503293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28306285305892986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21684720901713087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25985718168154653,0.0,0.0,0.0,0.0,0.26788550041946646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38564505298471746,0.0,0.0,0.0,0.0,0.0,0.24382396694853725,0.0,0.0,0.0,0.2560691238712885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2760360376847892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3831779958214112,0.0,0.42476225472796486,0.0,0.0,0.0,0.0,0.0,0.0
25.44,43.96,3,2,-72.79874213836477,0.0,0.0,0.0,0.18269164709621358,0.0,0.0,0.0,0.23456326629139182,0.0,0.0,0.0,0.0,0.2948854669313808,0.274173608476343,0.3289125286307886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20319202672669706,0.24535299449092512,0.0,0.0,0.2715579530383041,0.0,0.15251946985945702,0.0,0.16027609956290043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2521814922377388,0.0,0.2529800286586566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26952913451743393,0.0,0.0,0.0,0.3327047397138148,0.0,0.0,0.0,0.0,0.3046085151225215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11572900519961826,0.0,0.0
180.59,233.3,0,1,-29.18766266127693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24657223425872235,0.0,0.0,0.25666147729881983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2959520016525467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6059202133519086,0.4198613292633602,0.0,0.27290573694825176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2443720100865814,0.1747409388265053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1437936615934538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23855891920579284,0.0,0.0,0.0
